id,name,code,account_type,reconcile,name@es
sumitic_ve_110101,MAIN CASH BS,110101,asset_cash,True,CAJA PRINCIPAL BS
sumitic_ve_110102,DOMESTIC BANK BS,110102,asset_cash,True,BANCO NACIONAL BS
sumitic_ve_110103,CUSTODY BANK USD,110103,asset_cash,True,BANCO CUSTODIA USD
sumitic_ve_110301,DOMESTIC CUSTOMERS BS,110301,asset_receivable,True,CLIENTES NACIONALES BS
sumitic_ve_110302,DOMESTIC CUSTOMERS USD,110302,asset_receivable,True,CLIENTES NACIONALES USD
sumitic_ve_110303,SUPPLIER ADVANCES BS,110303,asset_receivable,True,ANTICIPOS A PROVEEDORES BS
sumitic_ve_110304,SUPPLIER ADVANCES USD,110304,asset_receivable,True,ANTICIPOS A PROVEEDORES USD
sumitic_ve_110501,VAT TAX CREDIT,110501,asset_current,True,IVA CREDITO FISCAL
sumitic_ve_110502,ACCUMULATED VAT WITHHOLDINGS,110502,asset_current,True,RETENCIONES DE IVA ACUMULADAS (75-100)
sumitic_ve_110503,ISLR WITHHOLDING ADVANCE,110503,asset_current,True,ANTICIPOS DE ISLR (RETENCIONES RECIBIDAS)
sumitic_ve_110504,IGTF EXCESS TO RECOVER,110504,asset_current,True,EXCESO DE IGTF POR RECUPERAR
sumitic_ve_1201,PROPERTY PLANT AND EQUIPMENT,1201,asset_fixed,True,PROPIEDADES PLANTA Y EQUIPO
sumitic_ve_210101,DOMESTIC SUPPLIERS BS,210101,liability_payable,True,PROVEEDORES NACIONALES BS
sumitic_ve_210102,CUSTOMER ADVANCES BS,210102,liability_payable,True,ANTICIPOS DE CLIENTES BS
sumitic_ve_210103,CUSTOMER ADVANCES USD,210103,liability_payable,True,ANTICIPOS DE CLIENTES USD
sumitic_ve_210201,VAT TAX DEBIT,210201,liability_current,True,IVA DEBITO FISCAL
sumitic_ve_210202,IGTF TO BE PAID PERCEIVED,210202,liability_current,True,IGTF POR ENTERAR (PERCIBIDO 3%)
sumitic_ve_210203,VAT WITHHOLDINGS TO BE PAID,210203,liability_current,True,RETENCIONES IVA POR ENTERAR (A PROVEEDORES)
sumitic_ve_210204,ISLR WITHHOLDINGS TO BE PAID,210204,liability_current,True,RETENCIONES ISLR POR ENTERAR (A TERCEROS)
sumitic_ve_210205,PENSION CONTRIBUTION LEY 2024,210205,liability_current,True,CONTRIBUCION ESPECIAL DE PENSIONES
sumitic_ve_3101,SHARE CAPITAL,3101,equity,True,CAPITAL SOCIAL
sumitic_ve_4101,SALES TAXABLE 16,4101,income,True,VENTAS GRAVADAS ALICUOTA GENERAL (16%)
sumitic_ve_4102,EXEMPT SALES,4102,income,True,VENTAS EXENTAS Y/O EXONERADAS
sumitic_ve_4103,EXCHANGE DIFFERENCE INCOME,4103,income,True,INGRESOS POR DIFERENCIA EN CAMBIO
sumitic_ve_5101,COST OF GOODS SOLD,5101,expense,True,COSTO DE VENTAS
sumitic_ve_5201,PAYROLL EXPENSES,5201,expense,True,GASTOS DE NOMINA Y SALARIOS
sumitic_ve_5202,IGTF EXPENSE DEDUCTIBLE,5202,expense,True,GASTO IGTF 3% (PAGADO DEDUCIBLE)
sumitic_ve_5204,EXCHANGE DIFFERENCE EXPENSE,5204,expense,True,GASTOS POR DIFERENCIA EN CAMBIO
